iter	Logloss
0	0.6640884897
1	0.6352875933
2	0.6142176959
3	0.5869007054
4	0.5740460585
5	0.5595266642
6	0.5393240728
7	0.5286806373
8	0.5212290506
9	0.5053688751
10	0.4984426979
11	0.4775972904
12	0.4706555828
13	0.4637163202
14	0.45660011
15	0.4520933338
16	0.4452239356
17	0.4410651232
18	0.4348392656
19	0.4297560514
20	0.4240522526
21	0.4139714906
22	0.4117936947
23	0.4080421153
24	0.4004397972
25	0.3875874143
26	0.3843456234
27	0.3784316881
28	0.3729715998
	0.3758728752
30	0.3705414905
31	0.3648622326
32	0.3605294157
33	0.3562435071
34	0.3526087911
35	0.3447842471
36	0.3400271045
37	0.3353602469
38	0.3292022162
39	0.3218321531
40	0.3174948763
41	0.3144766471
42	0.3082105597
43	0.3013505341
44	0.298054115
45	0.2888178613
46	0.283744246
47	0.2762882221
48	0.2680410957
49	0.2618744168
50	0.2521126178
51	0.2437316261
52	0.2413628009
53	0.2296883784
54	0.2250957093
55	0.2205257472
56	0.2163130763
57	0.2114545783
58	0.2098893751
