iter	Passed	Remaining
0	4796	474872
1	10386	508945
2	14055	454460
3	17763	426329
4	23665	449653
5	27458	430177
6	31213	414694
7	36250	416886
8	41262	417208
9	44977	404797
10	49361	399381
11	55140	404360
12	58918	394298
13	63127	387780
14	68990	390948
15	73027	383396
16	76856	375239
17	83159	378837
18	86925	370578
19	90952	363809
20	96499	363021
21	101395	359493
22	105123	351936
23	109083	345430
24	114941	344825
25	118916	338454
26	122502	331210
27	128103	329408
28	132455	324288
	131449	306715
30	137327	305664
31	141042	299716
32	144782	293951
33	150682	292501
34	154668	287241
35	158366	281540
36	163407	278234
37	168363	274698
38	171939	268931
39	175898	263847
40	182216	262214
41	186082	256971
42	190096	251988
43	196026	249487
44	199997	244440
45	203945	239414
46	209669	236435
47	213790	231606
48	217797	226687
49	222653	222653
50	228067	219124
51	231877	214040
52	235482	208824
53	241427	205660
54	245293	200694
55	249364	195928
56	254481	191977
57	259271	187748
58	264092	183521
